Block Size,Step,Average Bits,Average N Bits,Average D Bits,Average Inner PSNR,Average N Inner PSNR,Average D Inner PSNR,PSNR All,N PSNR All,D PSNR All
4,8,22.781998007196613,10.051072931383821,8.309029426563978,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,12,17.01495187764894,7.313140388234992,5.9201860355584195,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,16,13.063864865785407,5.731195800248205,4.563776321455362,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,20,10.45711417115426,4.69372170955985,3.7039302329201615,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,26,8.015473311872794,3.7072660074161874,2.905958664721071,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,32,6.461039851034845,3.071640146479125,2.4094690114157227,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,40,5.09456990923065,2.5154211684504086,1.9847015529376293,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,52,3.83098414828255,2.0192133588287944,1.623929465106804,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,64,3.0284543905405394,1.7143259107864082,1.4135626504683019,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,78,2.4065180799562906,1.4773075454165698,1.2597228170369825,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,90,2.0400969457999847,1.340013153485539,1.17202823165444,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,128,1.4023942433661687,1.1019647945871032,1.0248000203189633,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
4,256,0.8373238754957868,0.8265885338545412,0.8221047847530057,0.020435878352409013,0.01971808677989538,0.017078601296487885,[16.89606691],[17.05135226],[17.675477]
8,8,17.988111299696165,9.356374132508433,7.705776262230734,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,12,12.519741757213437,6.715741332575195,5.42679666277415,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,16,9.337810840049848,5.195886627207771,4.130841950653244,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,20,7.401714213547856,4.215492905158781,3.313293950906529,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,26,5.6486558642974165,3.257956612224876,2.5240080372267752,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,32,4.577883955545011,2.6349790718189907,2.0197175874789304,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,40,3.6565612987188403,2.0832677200145184,1.580729663801919,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,52,2.7995196016546844,1.5734611867421573,1.1790846236830859,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,64,2.250037717660749,1.2519440250016884,0.9302175873033635,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,78,1.8131622170751156,1.0034019047623506,0.7432044713891792,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,90,1.545025874490841,0.8561053393108852,0.6351956045494346,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,128,1.025354812287776,0.5863490978134525,0.4444726392167929,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
8,256,0.4375206510776366,0.31687001821098787,0.2751857119297713,0.013321062202483478,0.014024193487111447,0.011907865243633744,[18.75461144],[18.53122105],[19.24166089]
16,8,12.375478054524814,8.978151145229907,7.45521196037849,0.011925847919613427,0.012670453129778247,0.011801035877767842,[19.23510733],[18.97207853],[19.28079869]
16,12,8.418409589333388,6.389298929052524,5.30141121988337,0.011925847919613427,0.012670453129778247,0.011801035877767842,[19.23510733],[18.97207853],[19.28079869]
16,16,6.3048235416257254,4.922550690019585,4.060838323437397,0.011925847919613427,0.012670453129778247,0.011801035877767842,[19.23510733],[18.97207853],[19.28079869]
16,20,5.030769300996062,3.9789108825019666,3.266609377178129,0.011925847919613427,0.012670453129778247,0.011801035877767842,[19.23510733],[18.97207853],[19.28079869]
16,26,3.85956646870113,3.0720633801836033,2.5002417558674224,0.011925847919613427,0.012670453129778247,0.011801035877767842,[19.23510733],[18.97207853],[19.28079869]
